text,label
The Loch Ness Monster has been captured on video.,FAKE
Housing prices in major U.S. cities increased by 19% year-over-year in 2021.,REAL
NASA's DART mission successfully altered an asteroid's trajectory in October 2022.,REAL
NASA's DART mission successfully altered an asteroid's trajectory in October 2022.,REAL
"Investment guru reveals secret method to make $10,000 per day from home.",FAKE
A bill has been passed to make student loan debt forgivable after 10 years of payments.,REAL
Recycling is a scam created by waste companies to charge higher fees.,FAKE
You can charge your phone by putting it in the microwave for 30 seconds.,FAKE
Oil prices reached $130 per barrel in March 2022 following Russia's invasion of Ukraine.,REAL
Fake news claiming Indian cricket team has been banned from international tournaments.,FAKE
Google's AI chatbot Bard was launched in response to ChatGPT's success in 2023.,REAL
WhatsApp forwards claiming free smartphones for all citizens under Digital India scheme by showing Aadhaar card.,FAKE
The unemployment rate has fallen to its lowest point in 50 years.,REAL
Netflix lost nearly 1 million subscribers in the second quarter of 2022.,REAL
Supply chain disruptions caused semiconductor shortages affecting car production in 2021-2022.,REAL
Oil prices reached $130 per barrel in March 2022 following Russia's invasion of Ukraine.,REAL
A man has successfully sued a weather company for an incorrect forecast that ruined his wedding.,FAKE
The US national debt has surpassed $30 trillion.,REAL
The average salary for new college graduates has increased by 5% this year.,REAL
A Russian satellite has been found to be broadcasting signals in an unknown language.,FAKE
Electric car batteries are worse for environment than gasoline engines.,FAKE
"India's renewable energy capacity reached 175 GW in 2024, achieving the target set for renewable energy expansion.",REAL
"Investment guru reveals secret method to make $10,000 per day from home.",FAKE
YouTube is removing all videos that mention certain political topics.,FAKE
Indian Space Research Organisation successfully completed the Chandrayaan-3 mission to the Moon's south pole.,REAL
"During COVID-19, the poultry industry faced ₹130bn losses due to WhatsApp rumors about meat transmission.",REAL
Videos circulating online falsely show Bollywood actors endorsing opposition leaders via AI-generated deepfakes.,FAKE
Antarctic ice sheets lost 150 billion tons of ice annually between 2002 and 2023.,REAL
Researchers developed new antibiotics effective against drug-resistant bacteria in 2023.,REAL
"Solar energy capacity worldwide exceeded 1,000 gigawatts for the first time in 2022.",REAL
Recycling is a scam created by waste companies to charge higher fees.,FAKE
Fake claims that eating onions can prevent radiation from 5G towers.,FAKE
"All mental illness is caused by vitamin deficiencies, not brain chemistry.",FAKE
Doctors are hiding natural cures to keep pharmaceutical companies profitable.,FAKE
GMO foods alter human DNA and create genetic mutations in children.,FAKE
"2025 India–Pakistan conflict coverage included independent fact checks, revealing false claims by media outlets.",REAL
